InstanceId,InstanceName,InstanceType,InstanceState,Region
i-0ce79c516e33428e7,ec2-use1-appe-df-orders-ecommerce-payment-web-d,t3.small,running,us-east-1
i-0d5321217569cd2b9,,t2.medium,running,us-east-1
i-03f15ac25bc66530b,ec2-use1-ap-pe-products-client-europa-website-sftp-test-u,t3.small,running,us-east-1
i-061b547ebfaf4545c,OADashboard-API-Dev,m3.medium,running,us-east-1
i-07be55c42ded65552,Entitlements-Fat-Api-Ubx2-Prod,t3a.medium,running,us-east-1
i-060502aa70e479256,eb-use1-ap-pe-notif-srv-ubx2-api-p,m5a.large,running,us-east-1
i-096e416f6ce6c3ac1,ec2-use1-appe-df-orders-ecommerce-payment-web-d,t3.small,running,us-east-1
i-0bce4fd3213155c5c,ec2-use1-appe-df-orders-ecommerce-payment-web-p,t3.small,running,us-east-1
i-0c1862623b7a4b24a,ec2-use1-appe-df-orders-ecommerce-checkout-web-u,t3.small,running,us-east-1
i-0f83488b0c4cb037f,ec2-use1-ap-pe-products-client-europa-website-mongodb-p,t3.small,running,us-east-1
i-0e2534a5820d745d2,ec2-use1-ap-pe-df-ecom-paym-workers-dev,t3.small,running,us-east-1
i-0bdcf494b0bc9c2ad,ec2-use1-ap-pe-products-client-europa-website-mongodb-u,t3.small,running,us-east-1
i-0ae5560f43d633940,ecs-use1-ap-ap-customers-service-ubx2-website-admin-librarian-p,m5a.large,running,us-east-1
i-069b49378149d4376,ecs-use1-ap-ap-entitlements-service-ubx2-read-api-u,m5a.large,running,us-east-1
i-01dc734c22f1799f4,Customer-API-Read-UAT,m5a.large,running,us-east-1
i-0ff15043dd723dc94,identity-ui-ubx-uat,t2.medium,running,us-east-1
i-0966b948b11f463b5,eb-use1-ap-pe-ems-service-ubx2-api-p,m5a.large,running,us-east-1
i-05f8a2d0806e320ca,ecs-use1-ap-ap-entitlements-services-ubx2-api-u,r5a.large,running,us-east-1
i-04fe16ad147050f3f,eb-use1-ap-pe-jobs-service-ubx2-api-u,m5a.large,running,us-east-1
i-0913ce108d48021ce,eb-use1-ap-pe-productbndl-srv-ubx2-api-p,m5a.large,running,us-east-1
i-0b84b1bb861452e54,asg-use1-ap-pe-platform-core-services-p,m5a.large,running,us-east-1
i-0390b2ee8c84c6f1b,asg-use1-ap-pe-platform-core-services-d,m5a.large,running,us-east-1
i-04b1ff1b0afe26882,counter-report-sneaql-uat,t2.medium,running,us-east-1
i-0567117d249c3baba,Customer-API-Prod-Blue-1,m5a.large,running,us-east-1
i-055016d264fb92105,OADashboard-API-v2-prod,m5a.large,running,us-east-1
i-0be53b8028f26117f,OADashboard-API-v2-dev,m5a.large,running,us-east-1
i-001017330dfb4a426,ecs-use1-ap-pe-licenses-service-ubx2-api-u,m5a.large,running,us-east-1
i-0c798c25a1db2a59d,eb-use1-ap-pe-ems-service-ubx2-api-p,m5a.large,running,us-east-1
i-0bb738a0fea0a6c88,,t3.medium,running,us-east-1
i-0dd846ff49bc64942,eb-use1-ap-pe-productbndl-srv-ubx2-api-p,m5a.large,running,us-east-1
i-0fc289b68d2af794e,tandf core infra apm newrelic location,t3.large,running,us-east-1
i-0b8bae8c53991e57b,ec2-use1-ap-pe-df-ecom-paym-workers-uat,t3.small,running,us-east-1
i-0af6b855bbc8f4a73,tnf-article-content-pipeline-prod,m3.medium,running,us-east-1
i-0862c345db7cef46f,OADashboard-API-v2-dev-blue,t3a.medium,running,us-east-1
i-01533c1dd99a4369d,,t3.medium,running,us-east-1
